<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070323,000000,1889.7000000,1915.4200000,1887.1100000,1914.4700000,0
20070326,000000,1918.1600000,1929.1300000,1914.8400000,1924.7900000,0
20070327,000000,1923.3400000,1924.3800000,1907.5900000,1911.0600000,0
20070328,000000,1911.3700000,1933.7800000,1910.7000000,1925.6400000,0
20070329,000000,1926.0400000,1940.5900000,1926.0400000,1940.4700000,0
20070330,000000,1949.2500000,1953.5600000,1933.4100000,1935.7200000,0
20070402,000000,1935.0100000,1935.0100000,1922.7200000,1927.7300000,0
20070403,000000,1928.2100000,1931.6800000,1914.8500000,1920.8000000,0
20070404,000000,1921.1900000,1934.1700000,1921.1900000,1929.9400000,0
20070405,000000,1930.0900000,1942.7500000,1929.8500000,1942.7500000,0
20070406,000000,1943.6900000,1947.9700000,1943.2900000,1946.4700000,0
20070409,000000,1946.9500000,1973.8300000,1946.9500000,1964.0700000,0
20070410,000000,1961.9200000,1978.1900000,1960.6700000,1977.3300000,0
20070411,000000,1979.1000000,1991.6300000,1979.1000000,1984.4400000,0
20070412,000000,1983.8100000,1983.8100000,1964.6600000,1967.0200000,0
20070413,000000,1969.1500000,2001.5900000,1969.1500000,2001.5900000,0
20070416,000000,2001.6300000,2008.7100000,1995.9700000,2008.4200000,0
20070417,000000,2007.0000000,2007.4700000,1983.4700000,1990.5700000,0
20070418,000000,1990.6600000,1993.9800000,1965.0900000,1965.0900000,0
20070419,000000,1964.3700000,1964.3700000,1915.3600000,1926.3800000,0
20070420,000000,1929.2800000,1974.3100000,1929.2800000,1971.6600000,0
20070423,000000,1971.7300000,1985.8300000,1971.7300000,1973.6700000,0
20070424,000000,1973.9100000,1984.0100000,1957.1700000,1966.5900000,0
20070425,000000,1966.0900000,1979.2700000,1958.7000000,1973.4800000,0
20070426,000000,1978.7400000,1991.8800000,1960.4000000,1960.4000000,0
20070427,000000,1960.4300000,1962.8600000,1913.7300000,1914.2600000,0
